questionId,topic,assetId,hasImage,isSample,screenshotPath
TX-SAF-0003,SAFE_DRIVING,SPEED_FOLLOWING_DISTANCE_3SEC,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SAF-0003__SPEED_FOLLOWING_DISTANCE_3SEC.png
TX-SAF-0005,SAFE_DRIVING,SAFE_BLIND_SPOT_CHECK,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SAF-0005__SAFE_BLIND_SPOT_CHECK.png
TX-SAF-0066,SAFE_DRIVING,SAFE_TIRE_TREAD_DEPTH,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SAF-0066__SAFE_TIRE_TREAD_DEPTH.png
TX-SAF-0071,SAFE_DRIVING,SAFE_MIRROR_ADJUSTMENT,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SAF-0071__SAFE_MIRROR_ADJUSTMENT.png
TX-SIG-0001,SIGNS,MUTCD_R1-1_STOP,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SIG-0001__MUTCD_R1-1_STOP.png
TX-SIG-0002,SIGNS,MUTCD_R1-2_YIELD,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SIG-0002__MUTCD_R1-2_YIELD.png
TX-SIG-0003,SIGNS,MUTCD_R1-2_YIELD,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SIG-0003__MUTCD_R1-2_YIELD.png
TX-SIG-0004,SIGNS,MUTCD_R2-1_SPEED_LIMIT_65,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SIG-0004__MUTCD_R2-1_SPEED_LIMIT_65.png
TX-SIG-0005,SIGNS,MUTCD_R5-1_DO_NOT_ENTER,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SIG-0005__MUTCD_R5-1_DO_NOT_ENTER.png
TX-SIG-0006,SIGNS,MUTCD_R5-1a_WRONG_WAY,true,false,
TX-SIG-0007,SIGNS,MUTCD_R3-1_NO_LEFT_TURN,true,false,
TX-SIG-0008,SIGNS,MUTCD_R3-2_NO_RIGHT_TURN,true,false,
TX-SIG-0009,SIGNS,MUTCD_R3-3_NO_U_TURN,true,false,
TX-SIG-0010,SIGNS,MUTCD_R8-3a_NO_PARKING_ANYTIME,true,false,
TX-SIG-0011,SIGNS,MUTCD_R10-6_ONE_WAY,true,false,
TX-SIG-0012,SIGNS,MUTCD_R10-7_DO_NOT_PASS,true,false,
TX-SIG-0013,SIGNS,MUTCD_R15-1_RAILROAD_CROSSING,true,false,
TX-SIG-0014,SIGNS,MUTCD_R3-4_NO_TRUCKS,true,false,
TX-SIG-0015,SIGNS,MUTCD_R4-7_KEEP_RIGHT,true,false,
TX-SIG-0016,SIGNS,MUTCD_R6-1_LEFT_TURN_ONLY,true,false,
TX-SIG-0017,SIGNS,MUTCD_R6-2_RIGHT_TURN_ONLY,true,false,
TX-SIG-0018,SIGNS,MUTCD_R7-107_HANDICAPPED_PARKING,true,false,
TX-SIG-0021,SIGNS,MUTCD_R2-1_SPEED_LIMIT_70,true,false,
TX-SIG-0022,SIGNS,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,true,false,
TX-SIG-0025,SIGNS,MUTCD_R7-8_NO_PARKING,true,false,
TX-SIG-0027,SIGNS,MUTCD_R2-1_SPEED_LIMIT_30,true,false,
TX-SIG-0033,SIGNS,MUTCD_W1-1_CURVE_RIGHT,true,false,
TX-SIG-0034,SIGNS,MUTCD_W1-2_CURVE_LEFT,true,false,
TX-SIG-0035,SIGNS,MUTCD_W1-6_WINDING_ROAD,true,false,
TX-SIG-0036,SIGNS,MUTCD_W2-1_SIDE_ROAD,true,false,
TX-SIG-0037,SIGNS,MUTCD_W2-2_Y_INTERSECTION,true,false,
TX-SIG-0038,SIGNS,MUTCD_W2-3_T_INTERSECTION,true,false,
TX-SIG-0039,SIGNS,MUTCD_W3-1_MERGE,true,false,
TX-SIG-0040,SIGNS,MUTCD_W4-2_LANE_ENDS_MERGE,true,false,
TX-SIG-0041,SIGNS,MUTCD_W8-1_HILL,true,false,
TX-SIG-0042,SIGNS,MUTCD_W11-1_PEDESTRIAN_CROSSING,true,false,
TX-SIG-0043,SIGNS,MUTCD_W11-2_BICYCLE_CROSSING,true,false,
TX-SIG-0044,SIGNS,MUTCD_W14-1_TRUCK_CROSSING,true,false,
TX-SIG-0045,SIGNS,MUTCD_W14-2_FARM_EQUIPMENT,true,false,
